Code;Description
AE.21;JEUX EDUCATIFS
AE.22;FOURNITURES ET EQUIPEMENTS POUR ACTIVITES EXTERIEURES
AE.23;AUTRES FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES
AE.24;JOUETS
AE.25;FIGURINES
AE.26;PELUCHES
AE.27;ARTICLES TEXTILES ET BIJOUX
AE.3;REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES SPORTIVES, MUSICALES ET D'EXTERIEUR
AE.31;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SPORT
AE.32;REPARATION ET MAINTENANCE DES INSTRUMENTS DE MUSIQUE
AE.33;REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES RECREATIVES
AE.4;SERVICES SPORTIFS
AE.41;SERVICES D'ORGANISATION ET DE PROMOTION DES MANIF. SPORTIVES (HORS EVENEMENTIEL)
AE.42;SERVICES D'EVALUATION, D'ENREGISTREMENT OU DE CONTROLE DES PRESTATIONS SPORTIVES
AE.43;SERVICES D'EXPLOITATION DES INSTALLATIONS SPORTIVES 
AE.44;AUTRES SERVICES POUR LE SPORT
AE.5;SERVICES RECREATIFS
AE.51;SERVICES D'ANIMATION RECREATIFS
AE.52;AUTRES SERVICES RECREATIFS
AF;AUTRES APPROVISIONNEMENTS GENERAUX
AF.0;SALLES D'ENSEIGNEMENT
AF.01;MOBILIER PEDAGOGIQUE
AF.1;AUTRES PETITES FOURNITURES GENERALES
AF.11;ARTICLES DE DECORATION ET D'ORNEMENT
AF.2;AUTRES SERVICES GENERAUX
AF.21;LOCATION DE SALLES DE COURTE DUREE (HORS EVENEMENTIEL)
AF.3;FOURNITURES ET EQUIPEMENTS POUR CARTES MULTISERVICES
AF.31;CARTES MULTISERVICES
AF.32;SYSTEMES DE CREATION ET DE GESTION DE CARTES MULTISERVICES
AF.33;REPAR. ET MAINT. DE SYSTEMES DE CREATION ET GESTION DE CARTES MULTISERVICES
B;BATIMENTS - INFRASTRUCTURES - TRAVAUX - ESPACES VERTS
BA;FLUIDES ET COMBUSTIBLES
BA.0;FLUIDES (ABONNEMENTS ET CONSOMMATION) ET COMBUSTIBLES
BA.01;ELECTRICITE DISTRIBUEE 
BA.02;COMBUSTIBLES GAZEUX DISTRIBUES 
BA.03;EAU COURANTE
BA.04;FIOUL DOMESTIQUE
BA.05;CHAUFFAGE URBAIN
BA.06;AUTRES COMBUSTIBLES (BOIS DE CHAUFFAGE,…)
BA.1;EQUIPEMENTS RELATIFS A LA DISTRIBUTION DES FLUIDES
BA.11;MATERIEL DE STOCKAGE DES FLUIDES (CUVES A FIOUL,…)
BB;FOURNITURES, EQUIPEMENTS ET SERVICES POUR L'ENTRETIEN DES LOCAUX ET L'HYGIENE
BB.0;FOURNITURES ET EQUIPEMENTS POUR L'ENTRETIEN DES LOCAUX ET L'HYGIENE
BB.01;PRODUITS ET PETITES FOURNITURES D'HYGIENE ET DE TOILETTE
BB.02;PRODUITS ET PETITES FOURNITURES D'ENTRETIEN MENAGER
BB.03;MATERIEL POUR L'ENTRETIEN DES LOCAUX
BB.1;SERVICES DE NETTOYAGE/ENTRETIEN DES LOCAUX
BB.11;SERVICES DE NETTOYAGE COURANT DES LOCAUX
BB.12;SERVICES DE NETTOYAGE SPECIALISE DES LOCAUX 
BB.13;SERVICES DE NETTOYAGE DES VITRES
BB.14;SERVICES DE NETTOYAGE ET D'ENTRETIEN DES LOCAUX SENSIBLES
BB.2;SERVICES SPECIALISES D'ENTRETIEN DES LOCAUX
BB.21;SERVICES DE DESINFECTION
BB.22;SERVICES DE DERATISATION
BB.23;SERVICES DE DESINSECTISATION
BB.24;SERVICES DE DECONTAMINATION NUCLEAIRE, BIOLOGIQUE OU CHIMIQUE
BB.3;SERVICES DE TRAITEMENT DES DECHETS
BB.31;SERVICES DE TRAITEMENT DES DECHETS CHIMIQUES ET ASSIMILES
BB.32;SERV. TRAITMNT DECHETS BIOLOG. ET D'ACTIVIT. DE SOINS A RISQUES INFECTIEUX (DAS)
BB.33;SERVICES DE TRAITEMENT DES DECHETS RADIOACTIFS D'ACTIVITES NUCLEAIRES
BB.34;SERVICES DE TRAITEMENT DES DECHETS DEEE
BB.35;SERVICES DE TRAITEMENT DES DECHETS PAPIER
BB.36;SERVICES DE TRAITEMENT DES AUTRES DECHETS (MENAGERS, INDUSTRIELS,…)
BB.4;REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX
BB.41;REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX
BC;AUTRES SERVICES AUX BÂTIMENTS
BC.0;SERVICES D'ACCUEIL, GARDIENNAGE, PROTECTION ET SECURITE
BC.01;SERVICES DE GARDIENNAGE ET DE SECURITE
BC.02;SERVICES DE TELESURVEILLANCE
BC.03;SERVICES D'ACCUEIL
BC.1;SERVICES DE CONTRÔLES REGLEMENTAIRES 
BC.11;CONTRÔLES RELATIFS A L'ENVIRONNEMENT (EAU, EAUX USEES, INCINERATEURS…)
BC.12;CONTRÔLES REGLEMENTAIRES DES EQUIPEMENTS DES BATIMENTS
BC.13;SERVICES D'ANALYSES ET ESSAIS DES PRODUITS ET EQUIPEMENTS (hors scientifique)
BD;FOURNITURES ET MATERIEL POUR LA CONSTRUCTION, L'AMENAGEMENT, L'EQUIPEMENT ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES
BD.0;FOURNITURES ET MATERIEL POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES
BD.01;MATERIAUX ET CONSOM. PR LA CONSTRUCT. ET L'ENTRETIEN DES BATIMENTS ET INFRASTR.
BD.02;FOURNITURES POUR LES INSTALLATIONS ELECTRIQUES DES BATIMENTS ET INFRASTRUCTURES
BD.03;FOURNITURES DE PLOMBERIE 
BD.04;OUTILLAGE POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES
BD.05;BATIMENTS PREFABRIQUES OU MODULAIRES
BD.1;FOURNITURES ET MATERIEL D'AMENAGEMENT DES BÂTIMENTS
BD.11;PORTES, FENETRES ET MENUISERIES
BD.12;FOURNITURES POUR LE REVETEMENT DES MURS ET PLAFONDS
BD.13;FOURNITURES POUR LE REVETEMENT DES SOLS
BD.14;FOURNITURES ET EQUIPEMENTS D'ORNEMENT DES LOCAUX
BD.15;QUINCALLERIE POUR L'AMENAGEMENT ET L'ENTRETIEN DES BATIMENTS 
BD.2;FOURNITURES ET MATERIEL POUR L'EQUIPEMENT DES BÂTIMENTS
BD.21;PETITES FOURNITURES ELECTRIQUES POUR L'EQUIPEMENT DES BATIMENTS ET INFRASTR.
BD.22;GROS EQUIPEMENTS DES INSTALLATIONS ELECTRIQUES
BD.23;EQUIPEMENTS MECANIQUES POUR BATIMENTS 
BD.24;EQUIPEMENTS DE CHAUFFAGE, VENTILATION, CLIMATISATION (HORS BAT. EXPERIMENTAUX)
BD.25;EQUIPEMENTS SANITAIRES ET DE PLOMBERIE POUR L'EQUIPEMENT DES BATIMENTS
BD.26;FOURNITURES ET EQUIPEMENT DE SIGNALISATION DES BATIMENTS ET INFRASTRUCTURES
BD.27;FOURNITURES ET EQUIPEMENTS DE SECURITE (SYSTEMES D'ALARMES, EXTINCTEURS,…)
BE;TRAVAUX D'AMENAGEMENT ET DE MAINTENANCE DES BATIMENTS
BE.0;TRAVAUX D'AMENAGEMENT COURANTS DES BÂTIMENTS ET INFRASTRUCTURES
BE.01;MACONNERIE, DEMOLITION ET DESAMIANTAGE
BE.02;MENUISERIE, SERRURERIE
BE.03;ETANCHEITE, BARDAGE, COUVERTURE ET ZINGUERIE
BE.04;PLATRERIE, CLOISONS SECHES, FAUX PLAFONDS
BE.05;PEINTURES, REVETEMENTS DE SOLS, RAVALEMENT
BE.06;ELECTRICITE SUR INSTALLATIONS ELECTRIQUES DES BATIMENTS
BE.07;CVC, PLOMBERIE ET FLUIDES SPECIAUX
BE.08;VOIRIE RESEAUX DISTRIBUTION (VRD)
BE.09;AUTRES TRAVAUX D'AMENAGEMENT DES BATIMENTS
BE.1;REPARATION ET MAINTENANCE DES EQUIPEMENTS DES BATIMENTS
BE.11;REPARATION ET MAINTENANCE DES EQUIPEMENTS MECANIQUES DES BATIMENTS
BE.12;REPARATION ET MAINTENANCE DES CHAMBRES FROIDES
BE.13;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SECURITE
BE.14;REPARATION ET MAINTENANCE DES INSTALLATIONS ET EQUIPEMENTS ELECTRIQUES
BE.15;REPAR. ET MAINTENANCE EQUIPMTS CLIMATISATION, VENTILATION, CHAUFFAGE, RESERVOIRS
BE.16;REPARATION ET MAINTENANCE DES EQUIPEMENTS SANITAIRES ET PLOMBERIE
BE.17;REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS DES BATIMENTS
BE.2;NE PLUS UTILISER
BE.21;NE PLUS UTILISER
BF;TRAVAUX DE CONSTRUCTION ET SERVICES CONNEXES
BF.0;OPERATIONS DE TRAVAUX DE CONSTRUCTION
BF.01;TRAVAUX DE CONSTRUCTION NEUVE 
BF.02;TRAVAUX DE REHABILITATION OU DE REUTILISATION 
BF.03;TRAVAUX DE MISE EN SECURITE OU DE MISE EN CONFORMITE REGLEMENTAIRE
BF.1;SERVICES  D'ETUDE  POUR LA CONSTRUCTION ET L'ENTRETIEN
BF.11;ASSISTANCE A LA MAITRISE D'OUVRAGE, CONDUITE D'OPERATIONS, APP
BF.12;MAITRISE D'ŒUVRE ET INGENIERIE
BF.13;ETUDES PREALABLES (TOPOGRAPHIE, ETUDES DE SOL, PROSPECTION…), PROGRAMMATION
BF.14;CONTROLES TECHNIQUES, MISSIONS DE SECURITE, CSPS 
BF.15;DIAGNOSTICS, ORDONNANCEMENT-PILOTAGE-COORDINATION (OPC), SSI 
BG;ESPACES VERTS
BG.0;PRODUITS ET EQUIPEMENTS POUR LA CREATION ET L'ENTRETIEN DES ESPACES VERTS
BG.01;PRODUITS PHYTOSANITAIRES POUR ESPACES VERTS
BG.02;SEMENCES, ARBRES, PLANTES ET FLEURS POUR ESPACES VERTS
BG.03;PETITES FOURNITURES POUR ESPACES VERTS
BG.04;MATERIEL POUR CREATION ET ENTRETIEN D'ESPACES VERTS
BG.1;REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ESPACES VERTS
BG.11;REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES ESPACES VERTS 
BG.2;SERVICES RELATIFS AUX ESPACES VERTS
BG.21;SERVICES DE CREATION ET D'ENTRETIEN DES ESPACES VERTS
C;COMMUNICATION - CULTURE - DOCUMENTATION
CA;COMMUNICATION : CONCEPTION, EDITION, IMPRESSION
CA.0;COMMUNICATION : CONCEPTION DE PUBLICATIONS
CA.01;COMMUNICATION : CONCEPTION-REDACTION
CA.02;COMMUNICATION : CONCEPTION-REALISATION
CA.03;COMMUNICATION : TRAVAUX GRAPHIQUES 
CA.04;COMMUNICATION : TRAVAUX PHOTOGRAPHIQUES 
CA.1;COMMUNICATION : COMMUNICATION WEB
CA.11;COMMUNICATION : CONCEPTION, REALISATION DE SITES INTERNET ET FRAIS CONNEXES
CA.12;COMMUNICATION : CONCEPTION ET REALISATION DE RESEAUX SOCIAUX
CA.13;COMMUNICATION : CONCEPTION ET REALISATION D'APPLICATIONS MOBILES ET WEB
CA.14;COMMUNICATION : CONCEPTION ET REALISATION D'AUTRES OUTILS DE COMMUNICATION WEB
CA.2;COMMUNICATION : EDITION
CA.21;COMMUNICATION : EDITION DE DOCUMENTS IMPRIMES
CA.22;COMMUNICATION : EDITION DE DOCUMENTS WEB
CA.23;COMMUNICATION : CORRECTION ET RELECTURE DE DOCUMENTS
CA.24;COMMUNICATION : DIFFUSION ET PROMOTION DE DOCUMENTS SUR TOUS SUPPORTS
CA.3;COMMUNICATION : PRODUCTION AUDIOVISUELLE
CA.31;COMMUNICATION : CONCEPTION-REALISATION AUDIOVISUELLES
CA.32;COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DU SON
CA.33;COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DE L'IMAGE
CA.34;COMMUNICATION : SERVICES DE PRODUCTION AUDIOVISUELLE
CA.35;COMMUNICATION : DIFFUSION, DISTRIBUTION ET PROMOTION AUDIOVISUELLES
CB;COMMUNICATION : COMMUNICATION EVENEMENTIELLE ET INSTITUTIONNELLE
CB.0;COMMUNICATION : MATERIEL ET EQUIPEMENTS POUR LA COMMUNICATION EVENEMENTIELLE ET INSTITUTIONNELLE
CB.01;COMMUNICATION : OBJETS PROMOTIONNELS COURANTS
CB.02;COMMUNICATION : CADEAUX
CB.03;COMMUNICATION : MATERIEL ET EQUIPEMENTS POUR MANIFESTATIONS EVENEMENTIELLES
CB.1;COMMUNICATION : ORGANISATION DE MANIFESTATIONS EVENEMENTIELLES
CB.11;COMMUNICATION : LOCATION ET RESERVATION D'ESPACES POUR MANIF. EVENEMENTIELLES
CB.12;COMMUNICATION : ORGANISATION DE COLLOQUES, CONGRES ET SEMINAIRES
CB.13;COMM : ORGANISATION ET REALISATION DE SALONS, EXPOSITIONS ET FOIRES
CB.14;COMMUNICATION : SERVICES DE BILLETTERIE POUR MANIFESTATIONS EVENEMENTIELLES
CB.15;COMMUNICATION : ORGANISATION D'AUTRES MANIFESTATIONS EVENEMENTIELLES
CB.2;COMMUNICATION : PRESTATIONS ASSOCIEES AUX MANIFESTATIONS EVENEMENTIELLES
CB.21;COMMUNICATION : TRAITEURS POUR MANIFESTATIONS EVENEMENTIELLES
CB.22;COMMUNICATION : RESTAURATION POUR MANIFESTATIONS EVENEMENTIELLES
CB.23;COMMUNICATION : HEBERGEMENT POUR MANIFESTATIONS EVENEMENTIELLES
CB.24;COMMUNICATION : PROMOTION DE MANIFESTATIONS EVENEMENTIELLES
CB.25;COMMUNICATION : AUTRES PRESTATIONS ASSOCIEES AUX MANIFESTATIONS EVENEMENTIELLES
CC;COMMUNICATION : SERVICES POUR LA COMMUNICATION
CC.0;COMMUNICATION : SERVICES DE TRAITEMENT DE L'INFORMATION
CC.01;COMMUNICATION : VEILLE DES MEDIAS TRADITIONNELS
CC.02;COMMUNICATION : VEILLE DES MEDIAS INTERNET
CC.03;RELATIONS PRESSE
CC.1;COMMUNICATION : SERVICES DE CONSEIL EN COMMUNICATION
CC.11;COMM : SERVICES DE CONSEIL ET D'ACCOMPAGNEMENT DE CAMPAGNES DE COMMUNICATION
CC.12;COMMUNICATION : SERVICES DE CONSEIL EN IDENTITE VISUELLE
CC.13;COMMUNICATION : SERVICES DE CONSEIL EN IMAGE DES PERSONNES
CC.14;COMMUNICATION : SERVICES DE MEDIATRAINING
CC.15;COMMUNICATION : AUTRES SERVICES DE CONSEIL EN COMMUNICATION ET PUBLICITE
CC.2;COMMUNICATION : AUTRES SERVICES DE COMMUNICATION
CC.21;COMMUNICATION : ACHAT D'ESPACES PUBLICITAIRES 
CC.22;COMMUNICATION : ETUDES, SONDAGES ET ENQUETES DE COMMUNICATION
CC.23;COMMUNICATION : AUTRES SERVICES DE COMMUNICATION
CD;CULTURE ET COLLECTIONS DE MUSEE
CD.0;CULTURE : ŒUVRES ET OBJETS D'ART 
CD.01;CULTURE : ŒUVRES ET OBJETS D'ART EXISTANTS
CD.02;CULTURE : REALISATION D'ŒUVRES ET OBJETS D'ART
CD.03;CULTURE: REPRODUCTION D'ŒUVRES ET OBJETS D'ART
CD.1;CULTURE : REPRESENTATIONS ET REALISATIONS ARTISTIQUES ET CULTURELLES
CD.11;CULTURE : ACHATS DE REPRESENTATIONS ARTISTIQUES
CD.12;CULTURE : CONCEPTION-REALISATION-INSTALLATION D'ECLAIRAGE ET/OU DE SON
CD.13;CULTURE : CONCEPTION-REALISATION-INSTALLATION DE DECORS
CD.14;CULTURE : CONCEPTION-REALISATION DE COSTUMES
CD.2;CULTURE : SERVICES DE CONSERVATION DU PATRIMOINE (HORS ARCHIVAGE)
CD.21;SERVICES DE GESTION, DE CONSERV. ET DE RESTAUR. DES COLLECTIONS DES MUSEES
CD.22;SERVICES DE PRESERVATION DES SITES CLASSES OU INSCRITS
CD.23;SERVICES RELATIFS A LA PRESERVATION DES JARDINS, ZOOS ET RESERVES NATURELLES
CD.24;AUTRES SERVICES DE CONSERVATION DU PATRIMOINE (HORS ARCHIVAGE)
CD.25;SERVICES D'INVENTAIRES SPECIFIQUES
CD.3;CULTURE : SERVICES CULTURELS
CD.31;CULTURE : SERVICES D'ANIMATION CULTURELLE
CD.32;SERVICES DE PARCS DE RECREATION, DE PLAGES, DE PARCS D'ATTRACTION
CD.33;CULTURE : SERVICES DE MEDIATION CULTURELLE
CD.34;CULTURE : AUTRES SERVICES SOCIO-CULTURELS
CD.4;FOURNITURES POUR LA CONSERVATION ET LA RESTAURATION DES COLLECTIONS
CD.41;CONSOMMABLES SPECIFIQUES POUR LA CONSERVATION ET LA RESTAURATION DES COLLECTIONS
CD.42;MATERIELS SPECIFIQUES POUR LA CONSERVATION ET LA RESTAURATION DES COLLECTIONS
CD.43;MOBILIER SPECIFIQUE POUR LA CONSERVATION DES COLLECTIONS
CE;DOCUMENTATION : DOCUMENTS
CE.0;DOCUMENTATION : LIVRES
CE.01;DOCUMENTATION : LIVRES SCOLAIRES IMPRIMES DE TOUTES MATIERES
CE.02;DOCUMENTATION : LIVRES SCOLAIRES ELECTRONIQUES DE TOUTES MATIERES
CE.03;DOCUMENTATION : LIVRES NON SCOLAIRES IMPRIMES
CE.04;DOCUMENTATION : LIVRES NON SCOLAIRES ELECTRONIQUES
CE.05;DOCUMENTATION : LIVRES D'OCCASION ET EPUISES
CE.06;DOCUMENTATION : LIVRES ANCIENS PUBLIES AVANT 1900
CE.1;DOCUMENTATION : PERIODIQUES
CE.11;DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (SUPPORT PAPIER)
CE.12;DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (SUPPORT PAPIER)
CE.13;DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (ELECTRONIQUES)
CE.14;DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (ELECTRONIQUES)
CE.2;DOCUMENTATION : BASES DE DONNEES
CE.21;DOCUMENT. : DROIT D'ACCES A DES BASES DE DONNEES DOCUMENTAIRES SCIENTIFIQUES
CE.22;DOCUMENT.: DROIT D'ACCES A DES BASES DE DONNEES DOCUMENTAIRES NON SCIENTIFIQUES
CE.3;DOCUMENTATION : AUTRES DOCUMENTS (SUPPORT PAPIER OU ELECTRONIQUE)
CE.31;DOCUMENTATION : PARTITIONS MUSICALES
CE.32;DOCUMENTATION : CARTES (GEOGRAPHIQUES, TOPOGRAPHIQUES…) ET GLOBES TERRESTRES
CE.33;DOCUMENTATION : NORMES
CE.34;DOCUMENTATION : AUTRES DOCUMENTS
CE.4;DOCUMENTATION : IMAGES
CE.41;DOCUMENTATION : IMAGES FIXES
CE.42;DOCUMENTATION : IMAGES ANIMEES SUR TOUT SUPPORT 
CE.43;DOCUMENTATION : AUTRES IMAGES
CE.5;DOCUMENTATION : ENREGISTREMENTS SONORES
CE.51;DOCUMENTATION : ENTREGISTREMENTS SONORES 
CF;DOCUMENTATION : ARCHIVES
CF.0;DOCUMENTATION : ARCHIVES DE PERIODIQUES
CF.01;DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (PAPIER)
CF.02;DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (PAPIER)
CF.03;DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (ELECTRONIQUES)
CF.04;DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIF. (ELECTRONIQUES)
CF.1;DOCUMENTATION : ARCHIVES DE BASES DE DONNEES
CF.11;DOC. : DROIT D'ACCES A DES ARCHIVES DE BASES DE DONNEES DOCUMENTAIRES SCIENTIF.
CF.12;DOC. : DROIT D'ACCES A DES ARCHIVES DE BASES DE DONNEES DOCUMENT. NON SCIENTIF.
CF.2;DOCUMENTATION : ARCHIVES D'AUTRES DOCUMENTS IMPRIMES
CF.21;DOCUMENTATION : ARCHIVES DE PARTITIONS MUSICALES
CF.22;DOCUMENTATION : ARCHIVES DE CARTES (GEOGRAPHIQUES, TOPOGRAPHIQUES…)
CF.23;DOCUMENTATION : ARCHIVES D'AUTRES DOCUMENTS IMPRIMES
CF.3;DOCUMENTATION : ARCHIVES D'IMAGES
